


Names from Great Britain:

Aaron
Aarron
Abbey
Abbie
Abby
Abigail
Abigayle
Abraham
Ada
Adair
Adam
Adda
Adelaide
Adele
Adeline
Adelle
Aden
Adrian
Adrienne
Aengus
Aeron
Aeronwen
Aeronwy
Agatha
Aggie
Agnes
Aidan
Aiden
Aila
Ailbhe
Ailean
Aileen
Aili
Ailidh
Ailie
Ailis
Ailish
Ailsa
Aine
Ainsley
Ainsworth
Aislin
Aislinn
Al
Alan
Alana
Alanah
Alane
Alanna
Alannah
Alasdair
Alastair
Alaster
Alayna
Alayne
Albert
Albin
Aldwyn
Alec
Aleck
Aled
Alene
Alex
Alexander
Alexandra
Alexandria
Alexina
Alexis
Alfred
Alice
Alicia
Alick
Alisdair
Alisha
Alison
Alistair
Alistaire
Alister
Alix
Allan
Allana
Allen
Allison
Allister
Ally
Allyson
Aloysius
Alroy
Alston
Alton
Alun
Alva
Alvin
Alwyn
Alyce
Alyn
Alys
Alyson
Amabel
Amanda
Amber
Ambrose
Amelia
Amery
Amie
Amy
Anderson
Andie
Andrea
Andrew
Andrina
Andy
Aneirin
Aneurin
Angela
Angharad
Anghard
Angie
Angus
Anice
Anita
Ann
Anna
Annabel
Annabella
Annabelle
Anne
Annest
Annette
Annie
Annot
Annwyl
Anona
Ansel
Anson
Anthea
Anthony
Antony
Anya
Aodhan
Aoibheann
Aonghas
Aonghus
Ap
April
Arabella
Aranwen
Archibald
Archie
Ariana
Arianwen
Arlene
Arline
Armstrong
Arnold
Aron
Arran
Arron
Arthur
Artis
Arwen
Ashleigh
Ashley
Ashlie
Ashling
Ashlyn
Ashton
Athol
Aubrey
Audra
Audrey
Aulay
Austen
Austin
Ava
Aveline
Averil
Avery
Avon
Avril
Aymer
Bairbre
Baird
Balfour
Barbara
Barclay
Barnaby
Barney
Barri
Barrie
Barris
Barry
Bartholomew
Bartley
Basil
Baxter
Beatie
Beatrice
Beattie
Beatty
Bebhinn
Beckie
Becky
Beda
Bedwyr
Belinda
Bell
Bella
Belle
Ben
Benedict
Benjamin
Benn
Bernadette
Bernard
Bernice
Bert
Berth
Bertie
Bertram
Berwyn
Beryl
Bessie
Bet
Beth
Betha
Bethan
Bethanie
Bethia
Beti
Betsan
Betsi
Betsy
Bette
Bettie
Betty
Bev
Bevan
Beven
Beverley
Beverly
Bevis
Bill
Billie
Billy
Blain
Blair
Blaire
