"";"keyword";"sessions" ;"false" ;11
"138";"adidas 80 off";1 ;"false" ;25
"139";"adidas 850 zx";1 ;"false" ;25
"140";"adidas aa1660";1 ;"false" ;25
"141";"adidas ac5414";1 ;"false" ;25
"142";"adidas ace 15.1 fg";2 ;"false" ;21
"143";"adidas ace 15.1 sg";1 ;"false" ;21
"144";"adidas ace 15.1 sg black";4 ;"false" ;23
"145";"adidas ace 15.2 sg";1 ;"false" ;21
"146";"adidas ace 15.2 tf";1 ;"false" ;28
"147";"adidas ace 16 tkrz";1 ;"false" ;28
"148";"adidas ace 16+ purecontrol fg";4 ;"false" ;36
"149";"adidas ace 16+ silver";3 ;"false" ;32
"150";"adidas ace 16.1 fg/ag";1 ;"false" ;19
"151";"adidas ace 16.2 court";1 ;"false" ;31
"152";"adidas ace cheap";2 ;"false" ;30
"153";"adidas ace laceless cheap";4 ;"false" ;28
"154";"adidas ace pro goalkeeper gloves";1 ;"false" ;19
"155";"adidas ace zones";1 ;"false" ;30
"156";"adidas ace zones fingersave";1 ;"false" ;32
"157";"adidas ace zones fingersave allround";1 ;"false" ;26
"158";"adidas ace zones pro gloves";1 ;"false" ;26
"159";"adidas adi rise";1 ;"false" ;46
"160";"adidas adi rise 2.0 mens";1 ;"false" ;34
"161";"adidas adi sun flip flops";1 ;"false" ;22
"162";"adidas adiboost";1 ;"false" ;31
"163";"adidas adicourt";1 ;"false" ;38
"164";"adidas adidrill";2 ;"false" ;38
"165";"adidas adidrill mens";1 ;"false" ;39
"166";"adidas adilago";2 ;"false" ;32
"167";"adidas adilette cloudfoam slides";2 ;"false" ;28
"168";"adidas adios";2 ;"false" ;35
"169";"adidas adios boost";7 ;"false" ;34
"170";"adidas adios boost 3";3 ;"false" ;32
"171";"adidas adios boost women's";1 ;"false" ;27
"172";"adidas adipower football boots";1 ;"false" ;29
"173";"adidas adipower uk";3 ;"false" ;34
"174";"adidas adiprene";1 ;"false" ;46
"175";"adidas adipure 360.2 women's";1 ;"false" ;31
"176";"adidas adipure gazelle";1 ;"false" ;36
"177";"adidas adistar boost";1 ;"false" ;39
"178";"adidas adistar boost esm";7 ;"false" ;34
"179";"adidas adistar boost esm uk";1 ;"false" ;32
"180";"adidas adistar boost women's";1 ;"false" ;31
"181";"adidas adistar racer";3 ;"false" ;39
"182";"adidas adizero ace 7";1 ;"false" ;32
"183";"adidas adizero adios";2 ;"false" ;32
"184";"adidas adizero adios 3";1 ;"false" ;30
"185";"adidas adizero adios boost";2 ;"false" ;32
"186";"adidas adizero adios boost shoes";1 ;"false" ;28
"187";"adidas adizero counterblast 7";1 ;"false" ;35
"188";"adidas adizero feather";1 ;"false" ;42
"189";"adidas adizero feather iii";1 ;"false" ;38
"190";"adidas adizero football boots";4 ;"false" ;30
"191";"adidas adizero gld20";1 ;"false" ;32
"192";"adidas adizero indoor";1 ;"false" ;31
"193";"adidas adizero takumi";1 ;"false" ;38
"194";"adidas adizero takumi sen 3";3 ;"false" ;37
"195";"adidas adizero takumi sen boost";1 ;"false" ;33
"196";"adidas adizero takumi-sen 3";3 ;"false" ;37
"197";"adidas adizero tempo boost";2 ;"false" ;32
"198";"adidas adizero triple jump spikes";1 ;"false" ;32
"199";"adidas adizero ubersonic";1 ;"false" ;40
"200";"adidas adizero womens";1 ;"false" ;38
"201";"adidas adizero xt boost mens running shoes";1 ;"false" ;26
"202";"adidas adria";1 ;"false" ;35
"203";"adidas adria low";1 ;"false" ;30
"204";"adidas adria ps 3s";1 ;"false" ;28
"205";"adidas adria womens";3 ;"false" ;33
"206";"adidas airline messenger bag";1 ;"false" ;31
"207";"adidas all black boots";2 ;"false" ;30
"208";"adidas all black trainers";3 ;"false" ;28
"209";"adidas all in one";1 ;"false" ;36
"210";"adidas all round spikes";1 ;"false" ;29
"211";"adidas all star trainers";1 ;"false" ;29
"212";"adidas all stars";3 ;"false" ;30
"213";"adidas all stars black";4 ;"false" ;30
"214";"adidas all stars cheap";2 ;"false" ;30
"215";"adidas all weather jacket";1 ;"false" ;28
"216";"adidas aqua shoes";2 ;"false" ;29
"217";"adidas argyle polo";1 ;"false" ;34
"218";"adidas army tr chukka";1 ;"false" ;38
"219";"adidas army trainers";6 ;"false" ;32
"220";"adidas barricade";1 ;"false" ;37
"221";"adidas barricade court";3 ;"false" ;42
"222";"adidas barricade tennis shoes";1 ;"false" ;30
"223";"adidas baseball jerseys";1 ;"false" ;29
"224";"adidas baseline black";2 ;"false" ;38
"225";"adidas basket profi hi";1 ;"false" ;30
"226";"adidas basket profi women";1 ;"false" ;28
"227";"adidas basketball shoes";2 ;"false" ;29
"228";"adidas beckenbauer";15 ;"false" ;34
"229";"adidas beckenbauer allround";1 ;"false" ;32
"230";"adidas beckenbauer allround brown";1 ;"false" ;27
"231";"adidas beckenbauer brown";1 ;"false" ;29
"232";"adidas beckenbauer tracksuit top";1 ;"false" ;28
"233";"adidas beckenbauer trainers";12 ;"false" ;32
"234";"adidas black and orange football boots";4 ;"false" ;20
